_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
105,2020-03-31T00:00:00,Unknown,1677,136,2
106,2020-04-01T00:00:00,Hispanic or Latino,40,24,0
107,2020-04-01T00:00:00,Not Hispanic or Latino,710,348,20
108,2020-04-01T00:00:00,Unknown,1826,91,1
109,2020-04-02T00:00:00,Hispanic or Latino,30,22,0
110,2020-04-02T00:00:00,Not Hispanic or Latino,687,289,18
111,2020-04-02T00:00:00,Unknown,1997,86,3
112,2020-04-03T00:00:00,Hispanic or Latino,36,21,1
113,2020-04-03T00:00:00,Not Hispanic or Latino,764,308,28
114,2020-04-03T00:00:00,Unknown,2030,183,3
115,2020-04-04T00:00:00,Hispanic or Latino,18,25,0
116,2020-04-04T00:00:00,Not Hispanic or Latino,490,298,21
117,2020-04-04T00:00:00,Unknown,1159,138,4
118,2020-04-05T00:00:00,Hispanic or Latino,23,42,3
119,2020-04-05T00:00:00,Not Hispanic or Latino,373,338,25
120,2020-04-05T00:00:00,Unknown,731,145,4
121,2020-04-06T00:00:00,Hispanic or Latino,35,32,0
122,2020-04-06T00:00:00,Not Hispanic or Latino,568,341,23
123,2020-04-06T00:00:00,Unknown,1912,182,2
124,2020-04-07T00:00:00,Hispanic or Latino,26,26,0
125,2020-04-07T00:00:00,Not Hispanic or Latino,707,270,31
126,2020-04-07T00:00:00,Unknown,2064,124,7
127,2020-04-08T00:00:00,Hispanic or Latino,68,28,1
128,2020-04-08T00:00:00,Not Hispanic or Latino,971,287,24
129,2020-04-08T00:00:00,Unknown,2049,106,4
130,2020-04-09T00:00:00,Hispanic or Latino,68,38,1
131,2020-04-09T00:00:00,Not Hispanic or Latino,858,364,28
132,2020-04-09T00:00:00,Unknown,1899,156,7
133,2020-04-10T00:00:00,Hispanic or Latino,83,41,2
134,2020-04-10T00:00:00,Not Hispanic or Latino,924,318,18
135,2020-04-10T00:00:00,Unknown,1832,154,6
136,2020-04-11T00:00:00,Hispanic or Latino,53,40,0
137,2020-04-11T00:00:00,Not Hispanic or Latino,581,283,18
138,2020-04-11T00:00:00,Unknown,942,162,5
139,2020-04-12T00:00:00,Hispanic or Latino,24,27,1
140,2020-04-12T00:00:00,Not Hispanic or Latino,324,166,22
141,2020-04-12T00:00:00,Unknown,409,121,4
142,2020-04-13T00:00:00,Hispanic or Latino,60,29,0
143,2020-04-13T00:00:00,Not Hispanic or Latino,1151,159,29
144,2020-04-13T00:00:00,Unknown,2346,103,6
145,2020-04-14T00:00:00,Hispanic or Latino,75,48,3
146,2020-04-14T00:00:00,Not Hispanic or Latino,1046,250,30
147,2020-04-14T00:00:00,Unknown,2580,118,14
148,2020-04-15T00:00:00,Hispanic or Latino,72,64,3
149,2020-04-15T00:00:00,Not Hispanic or Latino,1092,353,29
150,2020-04-15T00:00:00,Unknown,2234,159,6
151,2020-04-16T00:00:00,Hispanic or Latino,90,71,0
152,2020-04-16T00:00:00,Not Hispanic or Latino,1387,342,28
153,2020-04-16T00:00:00,Unknown,2523,181,6
154,2020-04-17T00:00:00,Hispanic or Latino,112,62,1
155,2020-04-17T00:00:00,Not Hispanic or Latino,1511,287,31
156,2020-04-17T00:00:00,Unknown,2696,154,3
157,2020-04-18T00:00:00,Hispanic or Latino,41,55,2
158,2020-04-18T00:00:00,Not Hispanic or Latino,586,347,17
159,2020-04-18T00:00:00,Unknown,1145,154,9
160,2020-04-19T00:00:00,Hispanic or Latino,49,70,2
161,2020-04-19T00:00:00,Not Hispanic or Latino,336,272,31
162,2020-04-19T00:00:00,Unknown,750,137,6
163,2020-04-20T00:00:00,Hispanic or Latino,158,47,0
164,2020-04-20T00:00:00,Not Hispanic or Latino,1623,220,29
165,2020-04-20T00:00:00,Unknown,2622,115,8
166,2020-04-21T00:00:00,Hispanic or Latino,109,73,0
167,2020-04-21T00:00:00,Not Hispanic or Latino,1498,219,35
168,2020-04-21T00:00:00,Unknown,2341,85,14
169,2020-04-22T00:00:00,Hispanic or Latino,116,112,0
170,2020-04-22T00:00:00,Not Hispanic or Latino,1446,371,43
171,2020-04-22T00:00:00,Unknown,2403,121,7
172,2020-04-23T00:00:00,Hispanic or Latino,651,98,0
173,2020-04-23T00:00:00,Not Hispanic or Latino,1246,365,29
174,2020-04-23T00:00:00,Unknown,2689,182,9
175,2020-04-24T00:00:00,Hispanic or Latino,250,132,1
176,2020-04-24T00:00:00,Not Hispanic or Latino,914,372,25
177,2020-04-24T00:00:00,Unknown,2593,191,10
178,2020-04-25T00:00:00,Hispanic or Latino,57,216,0
179,2020-04-25T00:00:00,Not Hispanic or Latino,922,284,33
180,2020-04-25T00:00:00,Unknown,1428,124,9
181,2020-04-26T00:00:00,Hispanic or Latino,58,327,1
182,2020-04-26T00:00:00,Not Hispanic or Latino,995,479,27
183,2020-04-26T00:00:00,Unknown,810,136,7
184,2020-04-27T00:00:00,Hispanic or Latino,119,127,1
185,2020-04-27T00:00:00,Not Hispanic or Latino,1682,341,38
186,2020-04-27T00:00:00,Unknown,3022,144,5
187,2020-04-28T00:00:00,Hispanic or Latino,119,79,2
188,2020-04-28T00:00:00,Not Hispanic or Latino,1882,340,29
189,2020-04-28T00:00:00,Unknown,3108,173,5
190,2020-04-29T00:00:00,Hispanic or Latino,98,88,2
