COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
SHELBY      ,21284,3532343.27,10997,1431618.75,19.81,10287,2100724.52,27.43
SPENCER     ,7259,1089151.75,4110,604081.51,22.85,3149,485070.24,20
ST. JOSEPH  ,150061,25805859.15,83730,11920642.24,26.04,66331,13885216.91,29.73
STARKE      ,11538,1801827.14,5670,814494.77,26.47,5868,987332.37,20.29
STEUBEN     ,13723,2789960.42,7435,845684.23,26.71,6288,1944276.19,30.84
SULLIVAN    ,10688,1614012.91,5560,671176.57,24.25,5128,942836.34,27.76
SWITZERLAND ,4467,666671.94,2304,263472.28,20,2163,403199.66,29.06
TIPPECANOE  ,65038,11490498.21,34405,4821816.95,30.95,30633,6668681.26,29.98
TIPTON      ,4753,827973.43,2538,336694.76,27.16,2215,491278.67,32.06
UNION       ,3271,672631.43,1711,212575.31,22.68,1560,460056.12,35.19
UNKNOWN,5345,1090191.77,939,178184.35,34.97,4406,912007.42,25.52
VANDERBURGH ,110517,17615534.37,59780,8089012.57,23.05,50737,9526521.8,23.05
VERMILLION  ,8433,1363050.92,4447,559357.84,21.92,3986,803693.08,27.19
VIGO        ,64574,9716089.7,34353,4239847.12,23.78,30221,5476242.58,24.11
WABASH      ,13497,2042825.32,7470,1001299.66,29.7,6027,1041525.66,28.43
WARREN      ,1471,416178.28,748,117131.27,44.84,723,299047.01,32.04
WARRICK     ,16905,2616392.89,8812,1150706.21,22.87,8093,1465686.68,24.74
WASHINGTON  ,14182,2169603.9,7476,934072.86,20,6706,1235531.04,27.39
WAYNE       ,36573,6133312.42,19532,2941700.18,19.58,17041,3191612.24,28.43
WELLS       ,10795,1528528.76,6260,730868.55,22.93,4535,797660.21,28.43
WHITE       ,9697,1656559.01,4997,703500.33,24.61,4700,953058.68,29.16
WHITLEY     ,14068,1983965.06,7505,799700.52,26.71,6563,1184264.54,29.23
